id,title,category,primary_color,image_url,style,formality,material,pattern,fit,seasons,occasions
1,Classic White Oxford Shirt,Shirt,white,/uploads/seed_item_1_white_shirt.jpg,casual,4,cotton,solid,regular,"spring,summer,autumn,winter","casual,office,college"
2,Navy Blue Slim Button-Down,Shirt,navy,/uploads/seed_item_2_navy_shirt.jpg,smart_casual,5,cotton,solid,slim,"spring,summer,autumn,winter","office,date,casual"
3,Light Blue Denim Shirt,Shirt,blue,/uploads/seed_item_3_blue_shirt.jpg,casual,3,denim,solid,regular,"spring,summer,autumn,winter","casual,outing"
4,Black Graphic Streetwear Tee,T-Shirt,black,/uploads/seed_item_4_black_t-shirt.jpg,streetwear,2,cotton,printed,oversized,"spring,summer,autumn,winter","casual,college,party"
5,Grey Heather Crewneck Tee,T-Shirt,grey,/uploads/seed_item_5_grey_t-shirt.jpg,casual,2,cotton,solid,regular,"spring,summer,autumn,winter","casual,gym,travel"
6,Beige Linen Resort Shirt,Shirt,beige,/uploads/seed_item_6_beige_shirt.jpg,casual,3,linen,solid,relaxed,"spring,summer,autumn,winter","beach,casual,travel"
7,Olive Green Utility Polo,Polo,olive,/uploads/seed_item_7_olive_polo.jpg,smart_casual,4,cotton,solid,regular,"spring,summer,autumn,winter","college,outing,sports"
8,Burgundy Heavy Cotton Hoodie,Hoodie,burgundy,/uploads/seed_item_8_burgundy_hoodie.jpg,streetwear,2,cotton,solid,relaxed,"spring,summer,autumn,winter","casual,college,travel"
9,Charcoal Grey Knit Sweater,Sweater,grey,/uploads/seed_item_9_grey_sweater.jpg,smart_casual,5,wool,knit,regular,"spring,summer,autumn,winter","office,dinner,date"
10,White Striped Summer Polo,Polo,white,/uploads/seed_item_10_white_polo.jpg,casual,3,cotton,striped,regular,"spring,summer,autumn,winter","casual,outing"
11,Red Flannel Checked Shirt,Shirt,red,/uploads/seed_item_11_red_shirt.jpg,casual,3,cotton,plaid,regular,"spring,summer,autumn,winter","casual,travel"
12,Brown Cable Knit Sweater,Sweater,brown,/uploads/seed_item_12_brown_sweater.jpg,casual,4,wool,knit,regular,"spring,summer,autumn,winter","casual,outing"
13,Pink Linen Casual Shirt,Shirt,pink,/uploads/seed_item_13_pink_shirt.jpg,casual,3,linen,solid,regular,"spring,summer,autumn,winter","date,beach,party"
14,Yellow Graphic Oversized Tee,T-Shirt,yellow,/uploads/seed_item_14_yellow_t-shirt.jpg,streetwear,2,cotton,printed,oversized,"spring,summer,autumn,winter","party,casual"
15,Navy Crewneck Basic Tee,T-Shirt,navy,/uploads/seed_item_15_navy_t-shirt.jpg,casual,2,cotton,solid,slim,"spring,summer,autumn,winter","casual,college"
16,Black Turtleneck Sweater,Sweater,black,/uploads/seed_item_16_black_sweater.jpg,formal,7,wool,solid,slim,"spring,summer,autumn,winter","dinner,formal event,date"
17,Beige Oversized Hoodie,Hoodie,beige,/uploads/seed_item_17_beige_hoodie.jpg,casual,2,cotton,solid,oversized,"spring,summer,autumn,winter","casual,travel"
18,Green Printed Hawaiian Shirt,Shirt,green,/uploads/seed_item_18_green_shirt.jpg,casual,2,rayon,printed,relaxed,"spring,summer,autumn,winter","beach,party,travel"
19,White Formal Dress Shirt,Shirt,white,/uploads/seed_item_19_white_shirt.jpg,formal,9,cotton,solid,slim,"spring,summer,autumn,winter","interview,wedding,office"
20,Traditional Embroidered Kurta,Kurta,beige,/uploads/seed_item_20_beige_kurta.jpg,traditional,7,cotton,embroidered,regular,"spring,summer,autumn,winter","traditional event,wedding"
21,Dark Blue Slim Fit Jeans,Jeans,blue,/uploads/seed_item_21_blue_jeans.jpg,casual,3,denim,solid,slim,"spring,summer,autumn,winter","casual,college,outing"
22,Classic Black Denim Pants,Jeans,black,/uploads/seed_item_22_black_jeans.jpg,casual,3,denim,solid,regular,"spring,summer,autumn,winter","casual,party,college"
23,Beige Slim Chino Trousers,Pants,beige,/uploads/seed_item_23_beige_pants.jpg,smart_casual,5,cotton,solid,slim,"spring,summer,autumn,winter","office,date,casual"
24,Navy Blue Tailored Trousers,Trousers,navy,/uploads/seed_item_24_navy_trousers.jpg,formal,8,wool,solid,regular,"spring,summer,autumn,winter","office,interview,wedding"
25,Charcoal Grey Dress Pants,Trousers,grey,/uploads/seed_item_25_grey_trousers.jpg,formal,8,wool,solid,slim,"spring,summer,autumn,winter","office,interview,formal event"
26,Olive Cargo Utility Pants,Pants,olive,/uploads/seed_item_26_olive_pants.jpg,streetwear,2,cotton,solid,relaxed,"spring,summer,autumn,winter","casual,travel,outing"
27,Light Blue Distressed Jeans,Jeans,light blue,/uploads/seed_item_27_light blue_jeans.jpg,streetwear,2,denim,distressed,relaxed,"spring,summer,autumn,winter","party,casual"
28,Khaki Casual Shorts,Shorts,beige,/uploads/seed_item_28_beige_shorts.jpg,casual,2,cotton,solid,regular,"spring,summer,autumn,winter","beach,casual,sports"
29,Black Athletic Sweatpants,Pants,black,/uploads/seed_item_29_black_pants.jpg,athletic,1,synthetic,solid,relaxed,"spring,summer,autumn,winter","gym,travel,casual"
30,Brown Corduroy Trousers,Pants,brown,/uploads/seed_item_30_brown_pants.jpg,casual,4,cotton,solid,regular,"spring,summer,autumn,winter","casual,outing"
31,Grey Tailored Linen Pants,Pants,grey,/uploads/seed_item_31_grey_pants.jpg,casual,4,linen,solid,relaxed,"spring,summer,autumn,winter","beach,date,casual"
32,White Slim Chinos,Pants,white,/uploads/seed_item_32_white_pants.jpg,smart_casual,5,cotton,solid,slim,"spring,summer,autumn,winter","party,date,casual"
33,Navy Athletic Running Shorts,Shorts,navy,/uploads/seed_item_33_navy_shorts.jpg,athletic,1,synthetic,solid,regular,"spring,summer,autumn,winter","gym,sports"
34,Dark Grey Stretch Jeans,Jeans,grey,/uploads/seed_item_34_grey_jeans.jpg,casual,3,denim,solid,slim,"spring,summer,autumn,winter","college,casual"
35,Olive Chino Trousers,Pants,olive,/uploads/seed_item_35_olive_pants.jpg,smart_casual,5,cotton,solid,regular,"spring,summer,autumn,winter","office,outing"
36,Black Tailored Tuxedo Pants,Trousers,black,/uploads/seed_item_36_black_trousers.jpg,formal,10,wool,solid,slim,"spring,summer,autumn,winter","wedding,formal event"
37,Beige Linen Drawstring Shorts,Shorts,beige,/uploads/seed_item_37_beige_shorts.jpg,casual,2,linen,solid,relaxed,"spring,summer,autumn,winter","beach,travel"
38,Burgundy Casual Chinos,Pants,burgundy,/uploads/seed_item_38_burgundy_pants.jpg,casual,4,cotton,solid,slim,"spring,summer,autumn,winter","party,date"
39,Green Army Cargo Shorts,Shorts,green,/uploads/seed_item_39_green_shorts.jpg,casual,2,cotton,solid,relaxed,"spring,summer,autumn,winter","travel,casual"
40,Raw Indigo Denim Jeans,Jeans,navy,/uploads/seed_item_40_navy_jeans.jpg,casual,3,denim,solid,regular,"spring,summer,autumn,winter","casual,college"
41,Classic Minimalist White Sneakers,Sneakers,white,/uploads/seed_item_41_white_sneakers.jpg,casual,3,leather,solid,regular,"spring,summer,autumn,winter","casual,college,outing,travel"
42,Black Leather Oxford Dress Shoes,Shoes,black,/uploads/seed_item_42_black_shoes.jpg,formal,9,leather,solid,regular,"spring,summer,autumn,winter","interview,wedding,office,formal event"
43,Brown Suede Chelsea Boots,Boots,brown,/uploads/seed_item_43_brown_boots.jpg,smart_casual,6,suede,solid,regular,"spring,summer,autumn,winter","date,dinner,casual"
44,Navy Canvas Skate Sneakers,Sneakers,navy,/uploads/seed_item_44_navy_sneakers.jpg,streetwear,2,canvas,solid,regular,"spring,summer,autumn,winter","casual,college"
45,Black Athletic Running Shoes,Sneakers,black,/uploads/seed_item_45_black_sneakers.jpg,athletic,1,synthetic,solid,regular,"spring,summer,autumn,winter","gym,sports,travel"
46,Tan Leather Derby Shoes,Shoes,beige,/uploads/seed_item_46_beige_shoes.jpg,smart_casual,7,leather,solid,regular,"spring,summer,autumn,winter","office,dinner,date"
47,Grey Slip-On Canvas Shoes,Sneakers,grey,/uploads/seed_item_47_grey_sneakers.jpg,casual,2,canvas,solid,regular,"spring,summer,autumn,winter","casual,beach"
48,Brown Leather Casual Loafers,Shoes,brown,/uploads/seed_item_48_brown_shoes.jpg,smart_casual,6,leather,solid,regular,"spring,summer,autumn,winter","party,date,outing"
49,Black Leather Combat Boots,Boots,black,/uploads/seed_item_49_black_boots.jpg,streetwear,4,leather,solid,regular,"spring,summer,autumn,winter","party,casual"
50,Beige Leather Casual Sandals,Sandals,beige,/uploads/seed_item_50_beige_sandals.jpg,casual,1,leather,solid,regular,"spring,summer,autumn,winter","beach,casual"
51,Classic Blue Denim Jacket,Jacket,blue,/uploads/seed_item_51_blue_jacket.jpg,casual,4,denim,solid,regular,"spring,summer,autumn,winter","casual,college,outing"
52,Black Leather Biker Jacket,Jacket,black,/uploads/seed_item_52_black_jacket.jpg,streetwear,5,leather,solid,slim,"spring,summer,autumn,winter","party,date,casual"
53,Charcoal Wool Overcoat,Coat,grey,/uploads/seed_item_53_grey_coat.jpg,formal,9,wool,solid,regular,"spring,summer,autumn,winter","office,formal event,interview"
54,Beige Cotton Trench Coat,Coat,beige,/uploads/seed_item_54_beige_coat.jpg,smart_casual,7,cotton,solid,regular,"spring,summer,autumn,winter","office,travel,dinner"
55,Olive Green Bomber Jacket,Jacket,olive,/uploads/seed_item_55_olive_jacket.jpg,casual,4,synthetic,solid,regular,"spring,summer,autumn,winter","casual,outing,college"
56,Silver Minimalist Analog Watch,Watch,white,/uploads/seed_item_56_white_watch.jpg,smart_casual,6,metal,solid,regular,"spring,summer,autumn,winter","office,date,casual"
57,Black Leather Strap Dress Watch,Watch,black,/uploads/seed_item_57_black_watch.jpg,formal,9,leather,solid,regular,"spring,summer,autumn,winter","interview,wedding,formal event"
58,Brown Leather Vintage Watch,Watch,brown,/uploads/seed_item_58_brown_watch.jpg,casual,5,leather,solid,regular,"spring,summer,autumn,winter","casual,outing,college"
59,Gold Classic Executive Watch,Watch,yellow,/uploads/seed_item_59_yellow_watch.jpg,formal,9,gold,solid,regular,"spring,summer,autumn,winter","wedding,dinner"
60,Black Digital Sport Watch,Watch,black,/uploads/seed_item_60_black_watch.jpg,athletic,1,rubber,solid,regular,"spring,summer,autumn,winter","gym,sports,travel"
61,Black Genuine Leather Belt,Belt,black,/uploads/seed_item_61_black_belt.jpg,formal,8,leather,solid,regular,"spring,summer,autumn,winter","office,interview,wedding"
62,Brown Casual Leather Belt,Belt,brown,/uploads/seed_item_62_brown_belt.jpg,casual,4,leather,solid,regular,"spring,summer,autumn,winter","casual,college,outing"
63,Navy Braided Canvas Belt,Belt,navy,/uploads/seed_item_63_navy_belt.jpg,casual,3,canvas,braided,regular,"spring,summer,autumn,winter","casual,beach"
64,Tan Leather Dress Belt,Belt,beige,/uploads/seed_item_64_beige_belt.jpg,smart_casual,6,leather,solid,regular,"spring,summer,autumn,winter","office,date"
65,Dark Grey Reversible Belt,Belt,grey,/uploads/seed_item_65_grey_belt.jpg,casual,4,leather,solid,regular,"spring,summer,autumn,winter","casual,office"
66,Batch Test Glasses,Glasses,black,/uploads/test_g.jpg,casual,3,cotton,solid,regular,"spring,summer,autumn,winter","casual,college,outing"
67,Batch Test Watch,Watch,brown,/uploads/test_w.jpg,casual,4,cotton,solid,regular,"spring,summer,autumn,winter","casual,college,outing"
